"urls","status"
"http://step.esa.int/main/third-party-plugins-2/sen2cor/",TRUE
"http://www.geovis.net/Downloads.htm",TRUE
"https://grass.osgeo.org/",TRUE
"http://www.gvsig.com/en/home",TRUE
"http://52north.org/downloads/category/10-ilwis",TRUE
"http://www.lvc.ele.puc-rio.br/projects/interimage/",TRUE
"https://engineering.purdue.edu/~biehl/MultiSpec/index.html",TRUE
"http://www.openforis.org/tools/geospatial-toolkit.html",TRUE
"http://jump-pilot.sourceforge.net/",TRUE
"https://www.orfeo-toolbox.org/",TRUE
"https://github.com/orfeotoolbox",TRUE
"https://opticks.org/",TRUE
"https://trac.osgeo.org/ossim/",TRUE
"https://www.ietr.fr/polsarpro/",TRUE
"https://earth.esa.int/web/polsarpro",TRUE
"http://postgis.refractions.net/",TRUE
"http://www.qgis.org/en/site",TRUE
"http://rsgislib.org/",TRUE
"http://www.saga-gis.org/en/index.html",TRUE
"http://spirits.jrc.ec.europa.eu/overview/about/",TRUE
"http://www.dpi.inpe.br/spring/english/",TRUE
"http://www.dpi.inpe.br/terralib5/wiki/doku.php",TRUE
"http://udig.refractions.net/",TRUE
"http://www.uoguelph.ca/~hydrogeo/Whitebox/",TRUE
"https://cran.r-project.org/web/packages/MODIS/index.html",TRUE
"https://cran.r-project.org/web/packages/rgdal/index.html",TRUE
"https://cran.r-project.org/web/packages/sp/index.html",TRUE
"https://github.com/lbusett/MODIStsp/",TRUE
"https://cran.r-project.org/web/packages/mapedit/index.html",TRUE
"https://github.com/r-spatial/mapedit",TRUE
"https://cran.r-project.org/web/packages/mapview/index.html",TRUE
"https://github.com/r-spatial/mapview",TRUE
"https://cran.r-project.org/web/packages/rgeos/index.html",TRUE
"https://cran.r-project.org/web/packages/landsat8/index.html",TRUE
"https://cran.rstudio.com/src/contrib/Archive/MODISTools/",TRUE
"https://cran.r-project.org/web/packages/landsat/index.html",TRUE
"https://cran.r-project.org/web/packages/raster/index.html",TRUE
"https://github.com/bleutner/RStoolbox",TRUE
"https://cran.r-project.org/web/packages/sf/index.html",TRUE
"https://github.com/r-spatial/sf",TRUE
"https://cran.r-project.org/web/packages/maptools/index.html",TRUE
"http://www.agisoft.com/",TRUE
"http://desktop.arcgis.com/en/",TRUE
"http://www.harrisgeospatial.com/ProductsandTechnology/Software/ENVI.aspx",TRUE
"http://www.hexagongeospatial.com/products/power-portfolio/erdas-imagine",TRUE
"https://clarklabs.org/",TRUE
"http://www.pcigeomatics.com/",TRUE
"http://www.ecognition.com/",TRUE
"https://earthengine.google.com",TRUE
"https://explorer.earthengine.google.com",TRUE
"https://code.earthengine.google.com/",TRUE
"http://earthsystemdatacube.net",TRUE
"https://descarteslabs.com/",TRUE
"https://www.rasterfoundry.com/",TRUE
"https://github.com/joaofgoncalves/Remote-Sensing-Earth-Observation-directory",TRUE
"https://github.com/joaofgoncalves",TRUE
"https://pages.github.com",TRUE
